inci_name,display_name,function,is_active,fa_trigger,comedogenic,fragrance,eu_allergen,alcohol_type,pregnancy_caution,product_count
aqua,Aqua,Solvent / vehicle,0,0,,0,0,,0,1285
niacinamide,Niacinamide,Cell-communicating / barrier-repair active,1,0,0,0,0,,0,1246
glycerin,Glycerin,Humectant,0,0,0,0,0,,0,2263
hyaluronic acid,Hyaluronic Acid,Humectant / hydrating agent,1,0,0,0,0,,0,358
panthenol,Panthenol,Humectant / skin-conditioning agent,0,0,,0,0,,0,720
allantoin,Allantoin,Soothing/skin-conditioning agent,1,0,,0,0,,0,730
sodium hyaluronate,Sodium Hyaluronate,Humectant / hydrator,0,0,0,0,0,,0,949
salicylic acid,Salicylic Acid,Beta-hydroxy acid (BHA) exfoliant / keratolytic,1,,,0,0,,1,337
fragrance,Fragrance,Fragrance/masking agent,0,,,1,0,,0,489
alpha arbutin,Alpha-Arbutin,Skin-brightening agent,1,,,0,0,,1,156
cyclopentasiloxane,Cyclopentasiloxane,Emollient/silicone,0,0,,0,0,,0,350
titanium dioxide,Titanium Dioxide,UV filter / mineral sunscreen,1,0,1,0,0,,0,373
propanediol,Propanediol,Humectant/solvent,0,0,,0,0,,0,899
water,Water,Solvent/vehicle,0,0,,0,0,,0,806
zinc oxide,Zinc Oxide,UV filter / skin protectant,1,0,1,0,0,,0,178
dimethicone,Dimethicone,Emollient/occlusive (silicone),0,0,1,0,0,,0,642
benzyl alcohol,Benzyl Alcohol,Preservative / solvent,0,,,1,1,drying,0,235
retinol,Retinol,Vitamin A derivative / anti-aging active,1,,,0,0,,1,157
peg 40 hydrogenated castor oil,PEG-40 Hydrogenated Castor Oil,Solubilizer/emulsifier,0,0,,0,0,,0,162
cetearyl alcohol,Cetearyl Alcohol,Emollient/emulsifier,0,0,,0,0,fatty,0,455
glyceryl stearate,Glyceryl Stearate,Emulsifier/emollient,0,1,,0,0,,0,534
butyrospermum parkii butter,Butyrospermum Parkii Butter,Emollient/occlusive,0,,2,0,0,,0,165
urea,Urea,Humectant / keratolytic,1,0,,0,0,,0,78
peg 100 stearate,PEG-100 Stearate,Emulsifier/surfactant,0,1,,0,0,,0,272
stearic acid,Stearic Acid,Emulsifier / thickener,0,1,,0,0,,0,374
squalane,Squalane,Emollient / occlusive moisturizer,0,0,1,0,0,,0,320
mentha piperita oil,Mentha Piperita Oil,Fragrance/cooling agent,0,1,,0,0,,0,31
